id,anchor_id,anchor_tag,pert,x,y,z,vx,vy,vz,rr,rp,ry
H043_y_plus_20mm,H043,lateral_neg_y,y_plus_20mm,0.45,-0.48,0.25,-0.08,0.0,0.0,0.0,1.5708,0.0
H043_y_minus_20mm,H043,lateral_neg_y,y_minus_20mm,0.45,-0.52,0.25,-0.08,0.0,0.0,0.0,1.5708,0.0
H043_z_plus_20mm,H043,lateral_neg_y,z_plus_20mm,0.45,-0.5,0.27,-0.08,0.0,0.0,0.0,1.5708,0.0
H043_z_minus_20mm,H043,lateral_neg_y,z_minus_20mm,0.45,-0.5,0.23,-0.08,0.0,0.0,0.0,1.5708,0.0
H043_speed_plus,H043,lateral_neg_y,speed_plus,0.45,-0.5,0.25,-0.1,0.0,0.0,0.0,1.5708,0.0
H043_speed_minus,H043,lateral_neg_y,speed_minus,0.45,-0.5,0.25,-0.06,0.0,0.0,0.0,1.5708,0.0
H043_dir_plus10,H043,lateral_neg_y,dir_plus10,0.45,-0.5,0.25,-0.078785,-0.013892,0.0,0.0,1.5708,0.0
H043_combo_x40_spd,H043,lateral_neg_y,combo_x40_spd,0.49,-0.5,0.25,-0.1,0.0,0.0,0.0,1.5708,0.0
H055_nominal,H055,multiaxis_xyz,nominal,0.7,-0.25,0.45,-0.046192,0.046192,0.046192,0.0,1.5708,0.0
H055_x_plus_20mm,H055,multiaxis_xyz,x_plus_20mm,0.72,-0.25,0.45,-0.046192,0.046192,0.046192,0.0,1.5708,0.0
H055_x_minus_20mm,H055,multiaxis_xyz,x_minus_20mm,0.68,-0.25,0.45,-0.046192,0.046192,0.046192,0.0,1.5708,0.0
H055_y_plus_20mm,H055,multiaxis_xyz,y_plus_20mm,0.7,-0.23,0.45,-0.046192,0.046192,0.046192,0.0,1.5708,0.0
H055_y_minus_20mm,H055,multiaxis_xyz,y_minus_20mm,0.7,-0.27,0.45,-0.046192,0.046192,0.046192,0.0,1.5708,0.0
H055_z_plus_20mm,H055,multiaxis_xyz,z_plus_20mm,0.7,-0.25,0.47,-0.046192,0.046192,0.046192,0.0,1.5708,0.0
H055_z_minus_20mm,H055,multiaxis_xyz,z_minus_20mm,0.7,-0.25,0.43,-0.046192,0.046192,0.046192,0.0,1.5708,0.0
H055_speed_plus,H055,multiaxis_xyz,speed_plus,0.7,-0.25,0.45,-0.05774,0.05774,0.05774,0.0,1.5708,0.0
H055_speed_minus,H055,multiaxis_xyz,speed_minus,0.7,-0.25,0.45,-0.034644,0.034644,0.034644,0.0,1.5708,0.0
H055_dir_plus10,H055,multiaxis_xyz,dir_plus10,0.7,-0.25,0.45,-0.053511,0.037469,0.046192,0.0,1.5708,0.0
H055_combo_x40_spd,H055,multiaxis_xyz,combo_x40_spd,0.74,-0.25,0.45,-0.05774,0.05774,0.05774,0.0,1.5708,0.0
H040_nominal,H040,speed_high,nominal,0.58,0.25,0.3,-0.11,0.0,0.0,0.0,1.5708,0.0
H040_x_plus_20mm,H040,speed_high,x_plus_20mm,0.6,0.25,0.3,-0.11,0.0,0.0,0.0,1.5708,0.0
H040_x_minus_20mm,H040,speed_high,x_minus_20mm,0.56,0.25,0.3,-0.11,0.0,0.0,0.0,1.5708,0.0
H040_y_plus_20mm,H040,speed_high,y_plus_20mm,0.58,0.27,0.3,-0.11,0.0,0.0,0.0,1.5708,0.0
H040_y_minus_20mm,H040,speed_high,y_minus_20mm,0.58,0.23,0.3,-0.11,0.0,0.0,0.0,1.5708,0.0
H040_z_plus_20mm,H040,speed_high,z_plus_20mm,0.58,0.25,0.32,-0.11,0.0,0.0,0.0,1.5708,0.0
H040_z_minus_20mm,H040,speed_high,z_minus_20mm,0.58,0.25,0.28,-0.11,0.0,0.0,0.0,1.5708,0.0
H040_speed_plus,H040,speed_high,speed_plus,0.58,0.25,0.3,-0.13,0.0,0.0,0.0,1.5708,0.0
H040_speed_minus,H040,speed_high,speed_minus,0.58,0.25,0.3,-0.09,0.0,0.0,0.0,1.5708,0.0
H040_dir_plus10,H040,speed_high,dir_plus10,0.58,0.25,0.3,-0.108329,-0.019101,0.0,0.0,1.5708,0.0
H040_combo_x40_spd,H040,speed_high,combo_x40_spd,0.62,0.25,0.3,-0.13,0.0,0.0,0.0,1.5708,0.0
